date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:44	457/457	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/robots.txt		(from )
13:31:44	15803/15803	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2014:49:10%20GMT	https://CodeHelperbot.cf/	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/index.html	(from )
13:31:46	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jun%202021%2009:31:47%20GMT	http://CodeHelperbot.cf/assets/bootstrap/css/bootstrap.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/bootstrap/css/bootstrap.min.3.delayed	(from https://CodeHelperbot.cf/)
13:31:47	52249/52249	---M--	200	added ('OK')	image/png	etag:%2270367704756a1e2fb4544e6b9c5e405d%22	https://cdn.discordapp.com/attachments/852636398242365460/852810936434950164/beyaz.png	C:/CalbabaCal/CodeHelper/cdn.discordapp.com/attachments/852636398242365460/852810936434950164/beyaz.png	(from https://CodeHelperbot.cf/)
13:31:47	808/808	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/assets/bootstrap/css/bootstrap.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/bootstrap/css/bootstrap.min.4.delayed	(from https://CodeHelperbot.cf/)
13:31:48	808/808	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/css-family=Alfa+Slab+One.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/css-family=Alfa+Slab+One.css	(from https://CodeHelperbot.cf/)
13:31:49	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jun%202021%2009:31:50%20GMT	http://CodeHelperbot.cf/assets/fonts/font-awesome.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/fonts/font-awesome.min.css	(from https://CodeHelperbot.cf/)
13:31:50	808/808	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/assets/fonts/font-awesome.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/fonts/font-awesome.min.8.delayed	(from https://CodeHelperbot.cf/)
13:31:53	160257/160257	---MCZ	200	added ('OK')	text/css	etag:W/%226098a8cc-27201%22	https://CodeHelperbot.cf/bootstrap.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/bootstrap.min.css	(from https://CodeHelperbot.cf/)
13:31:53	31431/31431	---MCZ	200	added ('OK')	text/css	etag:W/%226098a8cc-7ac7%22	https://CodeHelperbot.cf/font-awesome.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/font-awesome.min.css	(from https://CodeHelperbot.cf/)
13:31:54	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jun%202021%2009:31:54%20GMT	http://CodeHelperbot.cf/assets/fonts/ionicons.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/fonts/ionicons.min.a.delayed	(from https://CodeHelperbot.cf/)
13:31:54	808/808	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/assets/fonts/ionicons.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/assets/fonts/ionicons.min.css	(from https://CodeHelperbot.cf/)
13:31:55	808/808	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2013:08:23%20GMT	https://CodeHelperbot.cf/animate.min.css	C:/CalbabaCal/CodeHelper/CodeHelperbot.cf/animate.min.css	(from https://CodeHelperbot.cf/)
